assay,treatE,cycle,strain,repO,rep,repT,lawn,cfu_w,cfu_releas,id
col.l4,mono,4,co-culture,3,3,2,b,138.3333333,NA,co-culture_mono_4_2_3
col.l4,mono,4,co-culture,1,1,3,b,337.7777778,NA,co-culture_mono_4_3_1
col.l4,mono,4,co-culture,3,3,1,b,16.66666667,NA,co-culture_mono_4_1_3
col.l4,mono,4,co-culture,2,2,1,b,1895.555556,NA,co-culture_mono_4_1_2
col.l4,mono,4,co-culture,3,3,3,b,91.11111111,NA,co-culture_mono_4_3_3
col.l4,mono,4,co-culture,2,2,2,b,5480,NA,co-culture_mono_4_2_2
col.l4,mono,4,co-culture,2,2,3,b,6114.444444,NA,co-culture_mono_4_3_2
col.l4,mono,4,co-culture,1,1,2,b,11886.66667,NA,co-culture_mono_4_2_1
col.l4,mono,4,co-culture,4,4,3,b,135.2380952,NA,co-culture_mono_4_3_4
col.l4,mono,4,co-culture,4,4,2,b,915.1515152,NA,co-culture_mono_4_2_4
col.l4,mono,4,co-culture,5,5,1,b,1482.222222,NA,co-culture_mono_4_1_5
col.l4,mono,4,co-culture,5,5,3,b,8666.666667,NA,co-culture_mono_4_3_5
col.l4,mono,4,co-culture,6,6,1,b,1628.888889,NA,co-culture_mono_4_1_6
col.l4,mono,4,co-culture,5,5,2,b,578.5714286,NA,co-culture_mono_4_2_5
col.l4,mono,4,co-culture,1,1,1,b,580,NA,co-culture_mono_4_1_1
col.l4,mono,4,co-culture,6,6,2,b,28666.66667,NA,co-culture_mono_4_2_6
col.l4,mono,4,co-culture,6,6,3,b,3860.606061,NA,co-culture_mono_4_3_6
col.l4,mono,4,co-culture,4,4,1,b,38.88888889,NA,co-culture_mono_4_1_4
col.l4,bi,10,co-culture,4,4,1,b,8.888888889,NA,co-culture_bi_10_1_4
col.l4,bi,10,co-culture,2,2,2,b,49622.22222,NA,co-culture_bi_10_2_2
col.l4,bi,10,co-culture,6,6,2,b,16650,NA,co-culture_bi_10_2_6
col.l4,bi,10,co-culture,6,6,1,b,3415,NA,co-culture_bi_10_1_6
col.l4,bi,10,co-culture,3,3,1,b,1008,NA,co-culture_bi_10_1_3
col.l4,bi,10,co-culture,1,1,3,b,271.1111111,NA,co-culture_bi_10_3_1
col.l4,bi,10,co-culture,2,2,3,b,13833.33333,NA,co-culture_bi_10_3_2
col.l4,bi,10,co-culture,5,5,3,b,398181.8182,NA,co-culture_bi_10_3_5
col.l4,bi,10,co-culture,4,4,2,b,919.6969697,NA,co-culture_bi_10_2_4
col.l4,bi,10,co-culture,2,2,1,b,2771.111111,NA,co-culture_bi_10_1_2
col.l4,bi,10,co-culture,6,6,3,b,15066.66667,NA,co-culture_bi_10_3_6
col.l4,bi,10,co-culture,5,5,1,b,8688.888889,NA,co-culture_bi_10_1_5
col.l4,bi,10,co-culture,3,3,2,b,945.6140351,NA,co-culture_bi_10_2_3
col.l4,bi,10,co-culture,5,5,2,b,2595.238095,NA,co-culture_bi_10_2_5
col.l4,bi,10,co-culture,4,4,3,b,3619.047619,NA,co-culture_bi_10_3_4
col.l4,bi,10,co-culture,3,3,3,b,3278.550725,NA,co-culture_bi_10_3_3
col.l4,bi,10,co-culture,1,1,2,b,820,NA,co-culture_bi_10_2_1
col.l4,bi,10,co-culture,1,1,1,b,50.47619048,NA,co-culture_bi_10_1_1
col.l4,anc,0,co-culture,4,4,2,b,42366.66667,NA,co-culture_anc_0_2_4
col.l4,anc,0,co-culture,4,4,3,b,11630,NA,co-culture_anc_0_3_4
col.l4,anc,0,co-culture,1,1,3,b,252.2222222,NA,co-culture_anc_0_3_1
col.l4,anc,0,co-culture,5,5,1,b,83.33333333,NA,co-culture_anc_0_1_5
col.l4,anc,0,co-culture,4,4,1,b,73.33333333,NA,co-culture_anc_0_1_4
col.l4,anc,0,co-culture,3,3,3,b,1.666666667,NA,co-culture_anc_0_3_3
col.l4,anc,0,co-culture,5,5,2,b,1072.727273,NA,co-culture_anc_0_2_5
col.l4,anc,0,co-culture,1,1,2,b,3113.333333,NA,co-culture_anc_0_2_1
col.l4,anc,0,co-culture,3,3,2,b,128.5333333,NA,co-culture_anc_0_2_3
col.l4,anc,0,co-culture,2,2,2,b,25973.33333,NA,co-culture_anc_0_2_2
col.l4,anc,0,co-culture,2,2,3,b,26680,NA,co-culture_anc_0_3_2
col.l4,anc,0,co-culture,1,1,1,b,1851.111111,NA,co-culture_anc_0_1_1
col.l4,anc,0,co-culture,2,2,1,b,1482.222222,NA,co-culture_anc_0_1_2
col.l4,anc,0,co-culture,6,6,1,b,2955.555556,NA,co-culture_anc_0_1_6
col.l4,anc,0,co-culture,6,6,2,b,120,NA,co-culture_anc_0_2_6
col.l4,anc,0,co-culture,6,6,3,b,2153.333333,NA,co-culture_anc_0_3_6
col.l4,anc,0,co-culture,5,5,3,b,143.5555556,NA,co-culture_anc_0_3_5
col.l4,anc,0,co-culture,3,3,1,b,45,NA,co-culture_anc_0_1_3
col.l4,bi,4,co-culture,3,3,2,b,287.6190476,NA,co-culture_bi_4_2_3
col.l4,bi,4,co-culture,5,5,3,b,17391.66667,NA,co-culture_bi_4_3_5
col.l4,bi,4,co-culture,1,1,3,b,3730,NA,co-culture_bi_4_3_1
col.l4,bi,4,co-culture,4,4,1,b,4.444444444,NA,co-culture_bi_4_1_4
col.l4,bi,4,co-culture,3,3,3,b,292.1568627,NA,co-culture_bi_4_3_3
col.l4,bi,4,co-culture,3,3,1,b,1066.666667,NA,co-culture_bi_4_1_3
col.l4,bi,4,co-culture,5,5,2,b,461.3333333,NA,co-culture_bi_4_2_5
col.l4,bi,4,co-culture,1,1,2,b,673.3333333,NA,co-culture_bi_4_2_1
col.l4,bi,4,co-culture,2,2,2,b,148000,NA,co-culture_bi_4_2_2
col.l4,bi,4,co-culture,6,6,3,b,552.0833333,NA,co-culture_bi_4_3_6
