"popID","run","treatment","cycle","cfu_MYb11","cfu_MYb71"
"2","1","biphasic","1",97048,1418480
"2","1","biphasic","3",3544800,1024800
"2","1","biphasic","4",19230400,231448000
"2","1","biphasic","5",11620000,58800000
"2","1","biphasic","6",500248,2744000
"2","1","biphasic","7",858670.4,48533335.2
"2","1","biphasic","8",5226664.8,50026670.4
"2","1","biphasic","9",586129.6,1586670.4
"2","1","biphasic","10",147280000,0
"4","1","biphasic","1",244552,3826480
"4","1","biphasic","2",341600,1213520
"4","1","biphasic","3",240800,1136800
"4","1","biphasic","4",6535200,18104800
"4","1","biphasic","5",11760000,6.3e+07
"4","1","biphasic","6",672000,18295200
"4","1","biphasic","7",2016000,6906664.8
"4","1","biphasic","8",11498664.8,31453335.2
"4","1","biphasic","9",7e+06,2800000
"4","1","biphasic","10",1232000,4104800
"25","1","biphasic","1",143752,1978480
"25","1","biphasic","2",169848,840000
"25","1","biphasic","4",756000,1157520
"25","1","biphasic","5",1500800,462000
"25","1","biphasic","6",231672,138096
"25","1","biphasic","7",NA,95200
"25","1","biphasic","8",242670.4,145600
"25","1","biphasic","9",31920000,1213335.2
"25","1","biphasic","10",39200000,933520
"44","2","biphasic","1",155120,71120
"44","2","biphasic","2",87752,448000
"44","2","biphasic","3",274400,273000
"44","2","biphasic","4",26129600,119448
"44","2","biphasic","5",224000,306129.6
"44","2","biphasic","6",8730400,54320000
"44","2","biphasic","7",11386664.8,54880000
"44","2","biphasic","8",70968800,145415200
"44","2","biphasic","9",4104800,10061520
"44","2","biphasic","10",81200000,9277520
"46","2","biphasic","1",173600,45080
"46","2","biphasic","2",205520,784000
"46","2","biphasic","3",151200,341600
"46","2","biphasic","4",224000,1736000
"46","2","biphasic","5",5600000,5236000
"46","2","biphasic","6",4704005.6,22960000
"46","2","biphasic","7",5712000,32106664.8
"46","2","biphasic","8",4664800,14541520
"46","2","biphasic","9",7464800,19019280
"46","2","biphasic","10",2876720,4855200
"62","2","biphasic","1",203280,61600
"62","2","biphasic","2",63448,1036000
"62","2","biphasic","3",3122000,672000
"62","2","biphasic","4",10264.8,24248
"62","2","biphasic","5",560000,1250664.8
"62","2","biphasic","6",401335.2,149335.2
"62","2","biphasic","7",429329.6,44800
"62","2","biphasic","8",1045520,59712.8
"62","2","biphasic","9",42952000,896560
"62","2","biphasic","10",1980720,8232000
"4","1","monophasic","1",6.72e+09,2.0552e+10
"4","1","monophasic","2",5.5272e+10,2.3128e+10
"4","1","monophasic","3",5.4152e+10,1.8648e+10
"4","1","monophasic","4",4.8552e+10,1.1592e+10
"4","1","monophasic","5",6.328e+10,1.904e+10
"4","1","monophasic","6",2800000,1.848e+10
"4","1","monophasic","7",3.528e+10,2.632e+10
"4","1","monophasic","8",4.2952e+10,1.4952e+10
"4","1","monophasic","9",98744800000,1.736e+10
"4","1","monophasic","10",34703200000,0
"5","1","monophasic","1",8.232e+09,2.072e+10
"5","1","monophasic","2",7.56e+10,4.48e+10
"5","1","monophasic","3",1.0192e+12,4.1048e+11
"5","1","monophasic","4",5.6e+10,1.736e+10
"5","1","monophasic","5",8.008e+10,1.4168e+10
"5","1","monophasic","6",3.7352e+10,1.2152e+10
"5","1","monophasic","7",3.304e+10,2.072e+10
"5","1","monophasic","8",3.36e+10,12506480000
"5","1","monophasic","9",4.6648e+10,0
"5","1","monophasic","10",65363200000,0
"30","1","monophasic","1",1.0248e+10,2.8728e+10
"30","1","monophasic","2",4.088e+10,2.4808e+10
"30","1","monophasic","3",1.4e+10,2.2792e+10
"30","1","monophasic","4",5.992e+10,1.4e+10
"30","1","monophasic","5",7.448e+10,1.456e+10
"30","1","monophasic","6",44885680000,1.1592e+10
"30","1","monophasic","7",5.6e+10,1.7752e+10
"30","1","monophasic","8",1.0472e+11,19803280000
"30","1","monophasic","9",1.148e+12,4481680000
"30","1","monophasic","10",5.5272e+10,0
"36","1","monophasic","1",8.792e+09,3.4552e+10
"36","1","monophasic","2",9.52e+10,0
"36","1","monophasic","3",2.7272e+13,1.1424e+12
"36","1","monophasic","4",5.6e+10,1.5288e+10
"36","1","monophasic","5",1.6072e+11,4.4072e+10
"36","1","monophasic","6",3.7352e+10,1.8312e+10
"36","1","monophasic","7",6.72e+10,2.6712e+10
"36","1","monophasic","8",1.344e+11,1.0808e+11
"36","1","monophasic","9",1.04552e+12,5.9752e+11
"36","1","monophasic","10",6.3504e+10,0
"50","2","monophasic","1",1.1032e+11,1.092e+11
"50","2","monophasic","2",1.1032e+11,3.4888e+10
"50","2","monophasic","3",9.128e+10,1.8872e+10
"50","2","monophasic","4",3.5448e+10,1.1928e+10
"50","2","monophasic","5",36252552000,2.5928e+10
"50","2","monophasic","6",5.4152e+10,21468720000
"50","2","monophasic","7",115936800000,24098480000
"50","2","monophasic","8",44986480000,0
"50","2","monophasic","9",57887200000,4.48e+10
"50","2","monophasic","10",1.232e+10,1.456e+10
"53","2","monophasic","1",3.5672e+10,8.008e+10
"53","2","monophasic","2",8.008e+10,2.3128e+10
"53","2","monophasic","3",7.448e+10,1.4952e+10
"53","2","monophasic","4",64775200000,1.7752e+10
"53","2","monophasic","5",7.056e+10,2.24e+10
"53","2","monophasic","6",4.1048e+10,10824800000
"53","2","monophasic","7",5.04e+10,9.128e+09
"53","2","monophasic","8",4.48e+10,0
"53","2","monophasic","9",4.48e+10,8978480000
"53","2","monophasic","10",37872800000,16055200000
