assay,tp,cycle,treatE,pop,strain,cfu
growth,24h,10,bi,1,MYb11,8.00E+11
growth,24h,10,bi,1,MYb71,16826666667
growth,hCy,10,bi,1,MYb71,1.92E+10
growth,t0h,10,bi,1,MYb71,115573333.3
growth,fCy,10,bi,1,MYb11,2933333333
growth,t0h,10,bi,1,MYb11,1082666667
growth,fCy,10,bi,1,MYb71,4413714286
growth,hCy,10,bi,1,MYb11,63786666667
growth,hCy,0,anc,1,MYb71,53333333.33
growth,24h,0,anc,1,MYb71,38933333333
growth,t0h,0,anc,1,MYb11,1.12E+09
growth,fCy,0,anc,1,MYb11,2.08E+09
growth,fCy,0,anc,1,MYb71,3.20E+09
growth,24h,0,anc,1,MYb11,3.73333E+11
growth,hCy,0,anc,1,MYb11,82133333.33
growth,t0h,0,anc,1,MYb71,3893333333
growth,hCy,10,mono,1,MYb11,226666666.7
growth,fCy,10,mono,1,MYb11,2.88E+09
growth,24h,10,mono,1,MYb11,4.80E+11
growth,t0h,10,mono,1,MYb11,2.40E+09
growth,t0h,10,mono,1,MYb71,320188235.3
growth,24h,10,mono,2,MYb71,7274666.667
growth,fCy,10,mono,2,MYb11,7253333.333
growth,fCy,10,mono,2,MYb71,2490666.667
growth,24h,10,mono,2,MYb11,1.36E+08
growth,hCy,10,mono,2,MYb11,86133333.33
growth,hCy,10,mono,2,MYb71,1770666.667
growth,t0h,10,mono,2,MYb11,14666666.67
growth,t0h,10,mono,2,MYb71,3192000
growth,fCy,10,bi,2,MYb11,9280000
growth,24h,10,bi,2,MYb11,69333333.33
growth,t0h,10,bi,2,MYb11,1045333333
growth,t0h,10,bi,2,MYb71,155200000
growth,hCy,10,bi,2,MYb11,36800000
growth,hCy,10,bi,2,MYb71,1296000
growth,fCy,10,bi,2,MYb71,4272000
growth,24h,10,bi,2,MYb71,757333.3333
growth,t0h,0,anc,2,MYb11,3786666.667
growth,24h,0,anc,2,MYb11,29866666.67
growth,24h,0,anc,2,MYb71,15466666.67
growth,hCy,0,anc,2,MYb71,2645333.333
growth,t0h,0,anc,2,MYb71,4693333.333
growth,fCy,0,anc,2,MYb11,5552000
growth,fCy,0,anc,2,MYb71,512000
growth,hCy,0,anc,2,MYb11,39466666.67
growth,hCy,10,mono,3,MYb71,1.65E+09
growth,t0h,10,mono,3,MYb71,4042666.667
growth,24h,10,mono,3,MYb11,1706666667
growth,t0h,10,mono,3,MYb11,283200000
