"assay","treatE","cycle","strain","prop"
"growth_24h","anc",0,"MYb11",0.90599774554973
"growth_24h","anc",0,"MYb71",0.0940022544502697
"growth_24h","bi",10,"MYb11",0.984297450895622
"growth_24h","bi",10,"MYb71",0.0157025491043777
"growth_24h","mono",10,"MYb11",0.95855479176924
"growth_24h","mono",10,"MYb71",0.0507742703990471
"growth_fCy","anc",0,"MYb11",0.576850018933505
"growth_fCy","anc",0,"MYb71",0.423149981066495
"growth_fCy","bi",10,"MYb11",0.741213428840498
"growth_fCy","bi",10,"MYb71",0.315230224321133
"growth_fCy","mono",10,"MYb11",0.872194854953476
"growth_fCy","mono",10,"MYb71",0.287378374674524
"growth_hCy","anc",0,"MYb11",0.882597835137386
"growth_hCy","anc",0,"MYb71",0.117402164862614
"growth_hCy","bi",10,"MYb11",0.898219793301228
"growth_hCy","bi",10,"MYb71",0.129541788742644
"growth_hCy","mono",10,"MYb11",0.914294554455445
"growth_hCy","mono",10,"MYb71",0.108910891089109
"growth_t0h","anc",0,"MYb11",0.315245579955233
"growth_t0h","anc",0,"MYb71",0.684754420044767
"growth_t0h","bi",10,"MYb11",0.942719900773435
"growth_t0h","bi",10,"MYb71",0.0714476853090714
"growth_t0h","mono",10,"MYb11",0.864216222928587
"growth_t0h","mono",10,"MYb71",0.135783777071413
