assay,treatE,cycle,strain,rep,repO,nWorms,avg.area,avg.major,avg.minor,avg.minor.major
wormSize,anc,0,co-culture,1,1,20,0.022733829,0.493490549,0.053370313,0.108228247
wormSize,bi,4,co-culture,1,1,17.5,0.016141582,0.411668047,0.047110067,0.114522625
wormSize,bi,10,co-culture,1,1,12.33333333,0.018440999,0.45650295,0.048206113,0.105936744
wormSize,mono,4,co-culture,1,1,45.5,0.021418902,0.469764742,0.052749036,0.112478318
wormSize,mono,10,co-culture,1,1,59.33333333,0.021158368,0.479409388,0.050933112,0.106349905
wormSize,anc,0,co-culture,2,2,32.11111111,0.023233322,0.507209557,0.053348908,0.105209905
wormSize,bi,4,co-culture,2,2,40.55555556,0.022791179,0.502048637,0.052477747,0.104591072
wormSize,bi,10,co-culture,2,2,52.55555556,0.019593842,0.459321884,0.048801765,0.10632171
wormSize,mono,4,co-culture,2,2,55.55555556,0.022022348,0.486870176,0.052089792,0.107024812
wormSize,mono,10,co-culture,2,2,62.77777778,0.022081303,0.482776938,0.053023246,0.109917252
wormSize,anc,0,co-culture,3,3,19,0.028073147,0.555030875,0.060667863,0.11834136
wormSize,bi,4,co-culture,3,3,28.66666667,0.016201448,0.381595185,0.052679128,0.141267458
wormSize,bi,10,co-culture,3,3,42.5,0.017001295,0.4279204,0.045649524,0.106796377
wormSize,mono,4,co-culture,3,3,57.16666667,0.021203622,0.476827512,0.052117037,0.109356569
wormSize,mono,10,co-culture,3,3,42.33333333,0.021425473,0.474292611,0.05212215,0.110052904
wormSize,anc,0,co-culture,4,4,23.66666667,0.028272003,0.560365871,0.057879752,0.103325332
wormSize,bi,4,co-culture,4,4,37,0.02961938,0.573090974,0.060932463,0.106559043
wormSize,bi,10,co-culture,4,4,44.44444444,0.027065744,0.530455341,0.060391701,0.114113188
wormSize,mono,4,co-culture,4,4,53.66666667,0.027043453,0.528226487,0.059885987,0.114085505
wormSize,mono,10,co-culture,4,4,35.33333333,0.027745336,0.567120963,0.058283423,0.102569629
wormSize,anc,0,co-culture,5,5,16.75,0.02250614,0.491330915,0.053377199,0.110902133
wormSize,bi,4,co-culture,5,5,30.33333333,0.020385128,0.489026485,0.04961153,0.102121223
wormSize,bi,10,co-culture,5,5,26.22222222,0.01607382,0.422770114,0.044577602,0.105826073
wormSize,mono,4,co-culture,5,5,22.33333333,0.018999673,0.454256944,0.048670896,0.107030151
wormSize,mono,10,co-culture,5,5,24.88888889,0.017049278,0.419704908,0.047123879,0.112366231
wormSize,anc,0,co-culture,6,6,18.77777778,0.030143335,0.580897212,0.060320555,0.103666988
wormSize,bi,4,co-culture,6,6,41.66666667,0.020857936,0.482316362,0.05006786,0.103858736
wormSize,bi,10,co-culture,6,6,27.55555556,0.016603033,0.438406678,0.044087187,0.100826512
wormSize,mono,4,co-culture,6,6,36.33333333,0.020195466,0.471652874,0.049708229,0.10548045
wormSize,mono,10,co-culture,6,6,36.77777778,0.02566542,0.523695669,0.057911282,0.110940837
wormSize,bi,4,MYb11,1,1,22.5,0.025215784,0.520904076,0.056400733,0.108385119
wormSize,bi,10,MYb11,1,1,33.5,0.018828227,0.421332484,0.052404376,0.125171722
wormSize,mono,4,MYb11,1,1,43.16666667,0.018095914,0.427057821,0.048688796,0.11421276
wormSize,anc,0,MYb11,2,2,43,0.019880764,0.473065259,0.049190247,0.104303373
wormSize,bi,4,MYb11,2,2,46.33333333,0.023715306,0.502790662,0.054716472,0.10913759
wormSize,bi,10,MYb11,2,2,41.55555556,0.018150285,0.439592507,0.047424367,0.108609756
wormSize,mono,4,MYb11,2,2,34.88888889,0.018876207,0.451379084,0.049013504,0.108587095
wormSize,mono,10,MYb11,2,2,54.55555556,0.020173036,0.460474315,0.051592154,0.112327793
wormSize,anc,0,MYb11,3,3,34.16666667,0.019207679,0.464546995,0.047530702,0.10343221
