"assay","treatE","cycle","strain","repO","rep","repT","lawn","cfu_w","cfu_releas","id"
"col.2h","mono","4","MYb71","2","2","3","b",2000,"NA","MYb71_mono_4_3_2"
"col.2h","mono","4","MYb71","5","5","3","b",1333.33333333333,"NA","MYb71_mono_4_3_5"
"col.2h","mono","4","MYb11","2","2","2","b",278.333333333333,"NA","MYb11_mono_4_2_2"
"col.2h","mono","4","MYb71","5","5","2","b",966.666666666667,"NA","MYb71_mono_4_2_5"
"col.2h","mono","4","MYb11","4","4","3","b",4300,"NA","MYb11_mono_4_3_4"
"col.2h","mono","4","MYb11","1","1","1","b",2533.33333333333,"NA","MYb11_mono_4_1_1"
"col.2h","mono","4","MYb71","2","2","2","b",655.555555555556,"NA","MYb71_mono_4_2_2"
"col.2h","mono","4","MYb11","2","2","3","b",3700,"NA","MYb11_mono_4_3_2"
"col.2h","mono","4","MYb71","4","4","2","b",1841.66666666667,"NA","MYb71_mono_4_2_4"
"col.2h","mono","4","MYb71","1","1","1","b",4.44444444444444,"NA","MYb71_mono_4_1_1"
"col.2h","mono","4","MYb11","2","2","1","b",235,"NA","MYb11_mono_4_1_2"
"col.2h","mono","4","MYb11","4","4","2","b",6250,"NA","MYb11_mono_4_2_4"
"col.2h","mono","4","MYb11","5","5","2","b",1900,"NA","MYb11_mono_4_2_5"
"col.2h","mono","4","MYb71","4","4","3","b",370,"NA","MYb71_mono_4_3_4"
"col.2h","mono","4","MYb11","5","5","3","b",19000,"NA","MYb11_mono_4_3_5"
"col.2h","mono","4","MYb11","5","5","1","b",80533.3333333333,"NA","MYb11_mono_4_1_5"
"col.2h","mono","4","MYb11","1","1","2","b",4616.66666666667,"NA","MYb11_mono_4_2_1"
"col.2h","mono","4","MYb71","2","2","1","b",1733.33333333333,"NA","MYb71_mono_4_1_2"
"col.2h","mono","4","MYb71","4","4","1","b",996,"NA","MYb71_mono_4_1_4"
"col.2h","mono","4","MYb71","1","1","3","b",33.3333333333333,"NA","MYb71_mono_4_3_1"
"col.2h","mono","4","MYb11","4","4","1","b",3386.66666666667,"NA","MYb11_mono_4_1_4"
"col.2h","mono","4","MYb71","5","5","1","b",1293.33333333333,"NA","MYb71_mono_4_1_5"
"col.2h","mono","4","MYb71","1","1","2","b",3.33333333333333,"NA","MYb71_mono_4_2_1"
"col.2h","bi","10","MYb11","1","1","3","b",9166.66666666667,"NA","MYb11_bi_10_3_1"
"col.2h","bi","10","MYb11","4","4","3","b",9733.33333333333,"NA","MYb11_bi_10_3_4"
"col.2h","bi","10","MYb71","1","1","2","b",1166.66666666667,"NA","MYb71_bi_10_2_1"
"col.2h","bi","10","MYb71","1","1","3","b",102.5,"NA","MYb71_bi_10_3_1"
"col.2h","bi","10","MYb71","5","5","3","b",26.6666666666667,"NA","MYb71_bi_10_3_5"
"col.2h","bi","10","MYb11","2","2","3","b",1446.66666666667,"NA","MYb11_bi_10_3_2"
"col.2h","bi","10","MYb11","4","4","1","b",1046666.66666667,"NA","MYb11_bi_10_1_4"
"col.2h","bi","10","MYb71","5","5","1","b",478.333333333333,"NA","MYb71_bi_10_1_5"
"col.2h","bi","10","MYb71","4","4","1","b",14666.6666666667,"NA","MYb71_bi_10_1_4"
"col.2h","bi","10","MYb71","2","2","3","b",126,"NA","MYb71_bi_10_3_2"
"col.2h","bi","10","MYb11","5","5","3","b",130,"NA","MYb11_bi_10_3_5"
"col.2h","bi","10","MYb71","2","2","2","b",240,"NA","MYb71_bi_10_2_2"
"col.2h","bi","10","MYb11","2","2","2","b",2520,"NA","MYb11_bi_10_2_2"
"col.2h","bi","10","MYb11","1","1","2","b",27600,"NA","MYb11_bi_10_2_1"
"col.2h","bi","10","MYb11","5","5","1","b",1866.66666666667,"NA","MYb11_bi_10_1_5"
"col.2h","bi","10","MYb11","1","1","1","b",12866.6666666667,"NA","MYb11_bi_10_1_1"
"col.2h","bi","10","MYb11","4","4","2","b",54133.3333333333,"NA","MYb11_bi_10_2_4"
"col.2h","bi","10","MYb11","5","5","2","b",102888.888888889,"NA","MYb11_bi_10_2_5"
"col.2h","bi","10","MYb71","4","4","2","b",3173.33333333333,"NA","MYb71_bi_10_2_4"
"col.2h","bi","10","MYb71","1","1","1","b",340,"NA","MYb71_bi_10_1_1"
"col.2h","bi","10","MYb71","2","2","1","b",223.333333333333,"NA","MYb71_bi_10_1_2"
"col.2h","bi","10","MYb11","2","2","1","b",225.555555555556,"NA","MYb11_bi_10_1_2"
"col.2h","bi","10","MYb71","5","5","2","b",19366.6666666667,"NA","MYb71_bi_10_2_5"
"col.2h","anc","0","MYb11","1","1","1","b",3773.33333333333,"NA","MYb11_anc_0_1_1"
"col.2h","anc","0","MYb71","2","2","1","b",278,"NA","MYb71_anc_0_1_2"
"col.2h","anc","0","MYb71","1","1","1","b",130.666666666667,"NA","MYb71_anc_0_1_1"
"col.2h","anc","0","MYb71","4","4","2","b",505.185185185185,"NA","MYb71_anc_0_2_4"
"col.2h","anc","0","MYb11","1","1","3","b",110800,"NA","MYb11_anc_0_3_1"
"col.2h","anc","0","MYb11","4","4","2","b",1733.33333333333,"NA","MYb11_anc_0_2_4"
"col.2h","anc","0","MYb11","4","4","3","b",4222.22222222222,"NA","MYb11_anc_0_3_4"
"col.2h","anc","0","MYb11","2","2","1","b",164,"NA","MYb11_anc_0_1_2"
"col.2h","anc","0","MYb71","2","2","2","b",740.740740740741,"NA","MYb71_anc_0_2_2"
"col.2h","anc","0","MYb71","5","5","2","b",2444.44444444444,"NA","MYb71_anc_0_2_5"
"col.2h","anc","0","MYb11","5","5","2","b",37000,"NA","MYb11_anc_0_2_5"
"col.2h","anc","0","MYb71","5","5","3","b",1586.66666666667,"NA","MYb71_anc_0_3_5"
"col.2h","anc","0","MYb71","5","5","1","b",1946.66666666667,"NA","MYb71_anc_0_1_5"
"col.2h","anc","0","MYb11","2","2","2","b",3185.18518518519,"NA","MYb11_anc_0_2_2"
"col.2h","anc","0","MYb11","2","2","3","b",1388.88888888889,"NA","MYb11_anc_0_3_2"
"col.2h","anc","0","MYb71","2","2","3","b",5,"NA","MYb71_anc_0_3_2"
"col.2h","anc","0","MYb11","5","5","3","b",2546.66666666667,"NA","MYb11_anc_0_3_5"
"col.2h","anc","0","MYb11","6","6","1","b",17750,"NA","MYb11_anc_0_1_6"
"col.2h","anc","0","MYb11","6","6","2","b",23142.8571428571,"NA","MYb11_anc_0_2_6"
"col.2h","anc","0","MYb11","6","6","3","b",10606.0606060606,"NA","MYb11_anc_0_3_6"
"col.2h","anc","0","MYb71","4","4","1","b",6680,"NA","MYb71_anc_0_1_4"
"col.2h","anc","0","MYb11","4","4","1","b",8120,"NA","MYb11_anc_0_1_4"
"col.2h","bi","4","MYb71","2","2","3","b",111.666666666667,"NA","MYb71_bi_4_3_2"
"col.2h","bi","4","MYb11","1","1","1","b",120000,"NA","MYb11_bi_4_1_1"
"col.2h","bi","4","MYb11","4","4","3","b",21142.8571428571,"NA","MYb11_bi_4_3_4"
"col.2h","bi","4","MYb71","2","2","2","b",20,"NA","MYb71_bi_4_2_2"
"col.2h","bi","4","MYb11","2","2","3","b",13166.6666666667,"NA","MYb11_bi_4_3_2"
"col.2h","bi","4","MYb71","1","1","2","b",275,"NA","MYb71_bi_4_2_1"
"col.2h","bi","4","MYb71","1","1","3","b",53.3333333333333,"NA","MYb71_bi_4_3_1"
"col.2h","bi","4","MYb11","2","2","2","b",24333.3333333333,"NA","MYb11_bi_4_2_2"
"col.2h","bi","4","MYb11","4","4","1","b",5986.66666666667,"NA","MYb11_bi_4_1_4"
"col.2h","bi","4","MYb71","2","2","1","b",11.3333333333333,"NA","MYb71_bi_4_1_2"
"col.2h","bi","4","MYb11","1","1","3","b",742.222222222222,"NA","MYb11_bi_4_3_1"
"col.2h","bi","4","MYb11","5","5","2","b",5240,"NA","MYb11_bi_4_2_5"
"col.2h","bi","4","MYb71","5","5","2","b",50.6666666666667,"NA","MYb71_bi_4_2_5"
"col.2h","bi","4","MYb71","1","1","1","b",573.333333333333,"NA","MYb71_bi_4_1_1"
"col.2h","bi","4","MYb71","5","5","1","b",65.5555555555556,"NA","MYb71_bi_4_1_5"
"col.2h","bi","4","MYb71","4","4","1","b",118,"NA","MYb71_bi_4_1_4"
"col.2h","bi","4","MYb71","5","5","3","b",305,"NA","MYb71_bi_4_3_5"
"col.2h","bi","4","MYb11","5","5","3","b",7025,"NA","MYb11_bi_4_3_5"
"col.2h","bi","4","MYb71","4","4","3","b",2514.28571428571,"NA","MYb71_bi_4_3_4"
"col.2h","bi","4","MYb11","5","5","1","b",7333.33333333333,"NA","MYb11_bi_4_1_5"
"col.2h","bi","4","MYb71","4","4","2","b",146.666666666667,"NA","MYb71_bi_4_2_4"
"col.2h","bi","4","MYb11","2","2","1","b",1288.88888888889,"NA","MYb11_bi_4_1_2"
"col.2h","mono","10","MYb11","5","5","2","b",12500,"NA","MYb11_mono_10_2_5"
"col.2h","mono","10","MYb11","1","1","1","b",115238.095238095,"NA","MYb11_mono_10_1_1"
"col.2h","mono","10","MYb71","5","5","1","b",1007.40740740741,"NA","MYb71_mono_10_1_5"
"col.2h","mono","10","MYb71","4","4","2","b",598.095238095238,"NA","MYb71_mono_10_2_4"
"col.2h","mono","10","MYb71","2","2","1","b",983.333333333333,"NA","MYb71_mono_10_1_2"
"col.2h","mono","10","MYb11","1","1","2","b",18666.6666666667,"NA","MYb11_mono_10_2_1"
"col.2h","mono","10","MYb11","4","4","3","b",94133.3333333333,"NA","MYb11_mono_10_3_4"
"col.2h","mono","10","MYb71","5","5","2","b",2766.66666666667,"NA","MYb71_mono_10_2_5"
"col.2h","mono","10","MYb11","5","5","1","b",4125.92592592593,"NA","MYb11_mono_10_1_5"
"col.2h","mono","10","MYb71","1","1","1","b",876.190476190476,"NA","MYb71_mono_10_1_1"
"col.2h","mono","10","MYb71","1","1","2","b",0,"NA","MYb71_mono_10_2_1"
"col.2h","mono","10","MYb71","4","4","1","b",3266.66666666667,"NA","MYb71_mono_10_1_4"
"col.2h","mono","10","MYb71","4","4","3","b",90133.3333333333,"NA","MYb71_mono_10_3_4"
"col.2h","mono","10","MYb11","4","4","2","b",5552.38095238095,"NA","MYb11_mono_10_2_4"
"col.2h","mono","10","MYb11","4","4","1","b",38666.6666666667,"NA","MYb11_mono_10_1_4"
"col.2h","mono","10","MYb11","2","2","2","b",2733.33333333333,"NA","MYb11_mono_10_2_2"
"col.2h","mono","10","MYb11","2","2","1","b",2416.66666666667,"NA","MYb11_mono_10_1_2"
"col.2h","mono","10","MYb11","1","1","3","b",94166.6666666667,"NA","MYb11_mono_10_3_1"
"col.2h","mono","10","MYb71","5","5","3","b",3633.33333333333,"NA","MYb71_mono_10_3_5"
"col.2h","mono","10","MYb71","2","2","2","b",300,"NA","MYb71_mono_10_2_2"
"col.2h","mono","10","MYb11","5","5","3","b",7450,"NA","MYb11_mono_10_3_5"
