"assay","treatE","cycle","strain","repO","rep","repT","lawn","cfu_w","cfu_releas","id"
"col.l4","mono","4","MYb71","5","5","2","b",423.809523809524,"NA","MYb71_mono_4_2_5"
"col.l4","mono","4","MYb71","2","2","3","b",5777.77777777778,"NA","MYb71_mono_4_3_2"
"col.l4","mono","4","MYb11","6","6","3","b",1133.33333333333,"NA","MYb11_mono_4_3_6"
"col.l4","mono","4","MYb71","6","6","1","b",651.111111111111,"NA","MYb71_mono_4_1_6"
"col.l4","mono","4","MYb11","5","5","1","b",1311.11111111111,"NA","MYb11_mono_4_1_5"
"col.l4","mono","4","MYb71","6","6","2","b",13866.6666666667,"NA","MYb71_mono_4_2_6"
"col.l4","mono","4","MYb11","6","6","2","b",14800,"NA","MYb11_mono_4_2_6"
"col.l4","mono","4","MYb11","6","6","1","b",977.777777777778,"NA","MYb11_mono_4_1_6"
"col.l4","mono","4","MYb71","6","6","3","b",2727.27272727273,"NA","MYb71_mono_4_3_6"
"col.l4","mono","4","MYb11","2","2","3","b",336.666666666667,"NA","MYb11_mono_4_3_2"
"col.l4","mono","4","MYb11","1","1","3","b",244.444444444444,"NA","MYb11_mono_4_3_1"
"col.l4","mono","4","MYb71","5","5","3","b",5250,"NA","MYb71_mono_4_3_5"
"col.l4","mono","4","MYb11","5","5","2","b",154.761904761905,"NA","MYb11_mono_4_2_5"
"col.l4","mono","4","MYb11","5","5","3","b",3416.66666666667,"NA","MYb11_mono_4_3_5"
"col.l4","mono","4","MYb71","4","4","1","b",2.22222222222222,"NA","MYb71_mono_4_1_4"
"col.l4","mono","4","MYb71","1","1","3","b",93.3333333333333,"NA","MYb71_mono_4_3_1"
"col.l4","mono","4","MYb11","3","3","3","b",46.6666666666667,"NA","MYb11_mono_4_3_3"
"col.l4","mono","4","MYb71","2","2","2","b",3960,"NA","MYb71_mono_4_2_2"
"col.l4","mono","4","MYb71","4","4","3","b",135.238095238095,"NA","MYb71_mono_4_3_4"
"col.l4","mono","4","MYb11","4","4","2","b",290.909090909091,"NA","MYb11_mono_4_2_4"
"col.l4","mono","4","MYb71","4","4","2","b",624.242424242424,"NA","MYb71_mono_4_2_4"
"col.l4","mono","4","MYb11","4","4","1","b",36.6666666666667,"NA","MYb11_mono_4_1_4"
"col.l4","mono","4","MYb71","5","5","1","b",171.111111111111,"NA","MYb71_mono_4_1_5"
"col.l4","mono","4","MYb11","2","2","2","b",1520,"NA","MYb11_mono_4_2_2"
"col.l4","mono","4","MYb11","1","1","2","b",8466.66666666667,"NA","MYb11_mono_4_2_1"
"col.l4","mono","4","MYb71","3","3","3","b",44.4444444444444,"NA","MYb71_mono_4_3_3"
"col.l4","mono","4","MYb11","2","2","1","b",251.111111111111,"NA","MYb11_mono_4_1_2"
"col.l4","mono","4","MYb71","1","1","2","b",3420,"NA","MYb71_mono_4_2_1"
"col.l4","mono","4","MYb71","3","3","2","b",101.666666666667,"NA","MYb71_mono_4_2_3"
"col.l4","mono","4","MYb71","1","1","1","b",153.333333333333,"NA","MYb71_mono_4_1_1"
"col.l4","mono","4","MYb11","3","3","2","b",36.6666666666667,"NA","MYb11_mono_4_2_3"
"col.l4","mono","4","MYb71","2","2","1","b",1644.44444444444,"NA","MYb71_mono_4_1_2"
"col.l4","mono","4","MYb11","1","1","1","b",426.666666666667,"NA","MYb11_mono_4_1_1"
"col.l4","mono","4","MYb71","3","3","1","b",16.6666666666667,"NA","MYb71_mono_4_1_3"
"col.l4","bi","10","MYb11","1","1","1","b",21.9047619047619,"NA","MYb11_bi_10_1_1"
"col.l4","bi","10","MYb71","1","1","1","b",28.5714285714286,"NA","MYb71_bi_10_1_1"
"col.l4","bi","10","MYb71","3","3","2","b",100,"NA","MYb71_bi_10_2_3"
"col.l4","bi","10","MYb11","3","3","2","b",845.614035087719,"NA","MYb11_bi_10_2_3"
"col.l4","bi","10","MYb11","3","3","1","b",953.333333333333,"NA","MYb11_bi_10_1_3"
"col.l4","bi","10","MYb11","6","6","3","b",8933.33333333333,"NA","MYb11_bi_10_3_6"
"col.l4","bi","10","MYb71","6","6","2","b",4050,"NA","MYb71_bi_10_2_6"
