"assay","treatE","cycle","strain","repO","rep","repT","lawn","cfu_w","cfu_releas","id"
"col.pe","mono","4","MYb11","1","1","1","b",190666.666666667,"NA","MYb11_mono_4_1_1"
"col.pe","mono","4","MYb71","1","1","1","b",71250,"NA","MYb71_mono_4_1_1"
"col.pe","mono","4","MYb71","3","3","1","h",8.88888888888889,"NA","MYb71_mono_4_1_3"
"col.pe","mono","4","MYb71","6","6","1","h",150.909090909091,"NA","MYb71_mono_4_1_6"
"col.pe","mono","4","MYb11","1","1","1","e",23259.2592592593,"NA","MYb11_mono_4_1_1"
"col.pe","mono","4","MYb71","4","4","1","b",1790,"NA","MYb71_mono_4_1_4"
"col.pe","mono","4","MYb71","2","2","1","h",104.285714285714,"NA","MYb71_mono_4_1_2"
"col.pe","mono","4","MYb11","6","6","1","b",182222.222222222,"NA","MYb11_mono_4_1_6"
"col.pe","mono","4","MYb71","2","2","1","b",13481.4814814815,"NA","MYb71_mono_4_1_2"
"col.pe","mono","4","MYb11","6","6","1","h",1018.18181818182,"NA","MYb11_mono_4_1_6"
"col.pe","mono","4","MYb71","3","3","1","e",70.3030303030303,"NA","MYb71_mono_4_1_3"
"col.pe","mono","4","MYb11","3","3","1","h",472.222222222222,"NA","MYb11_mono_4_1_3"
"col.pe","mono","4","MYb71","6","6","1","e",330.47619047619,"NA","MYb71_mono_4_1_6"
"col.pe","mono","4","MYb11","2","2","1","e",90.6666666666667,"NA","MYb11_mono_4_1_2"
"col.pe","mono","4","MYb71","1","1","1","e",251.111111111111,"NA","MYb71_mono_4_1_1"
"col.pe","mono","4","MYb11","4","4","1","b",7500,"NA","MYb11_mono_4_1_4"
"col.pe","mono","4","MYb11","3","3","1","e",3175.75757575758,"NA","MYb11_mono_4_1_3"
"col.pe","mono","4","MYb71","2","2","1","e",280,"NA","MYb71_mono_4_1_2"
"col.pe","mono","4","MYb11","2","2","1","b",31666.6666666667,"NA","MYb11_mono_4_1_2"
"col.pe","mono","4","MYb71","3","3","1","b",21000,"NA","MYb71_mono_4_1_3"
"col.pe","mono","4","MYb11","2","2","1","h",305.714285714286,"NA","MYb11_mono_4_1_2"
"col.pe","mono","4","MYb11","3","3","1","b",7000,"NA","MYb11_mono_4_1_3"
"col.pe","mono","4","MYb11","6","6","1","e",11904.7619047619,"NA","MYb11_mono_4_1_6"
"col.pe","mono","4","MYb71","6","6","1","b",157777.777777778,"NA","MYb71_mono_4_1_6"
"col.pe","bi","10","MYb71","4","4","1","e",119.230769230769,"NA","MYb71_bi_10_1_4"
"col.pe","bi","10","MYb11","4","4","1","e",116.410256410256,"NA","MYb11_bi_10_1_4"
"col.pe","bi","10","MYb11","3","3","1","b",1130000,"NA","MYb11_bi_10_1_3"
"col.pe","bi","10","MYb11","2","2","1","e",172121.212121212,"NA","MYb11_bi_10_1_2"
"col.pe","bi","10","MYb11","4","4","1","h",725,"NA","MYb11_bi_10_1_4"
"col.pe","bi","10","MYb11","6","6","1","b",397777.777777778,"NA","MYb11_bi_10_1_6"
"col.pe","bi","10","MYb11","4","4","1","b",155.238095238095,"NA","MYb11_bi_10_1_4"
"col.pe","bi","10","MYb71","3","3","1","b",5600000,"NA","MYb71_bi_10_1_3"
"col.pe","bi","10","MYb11","6","6","1","e",636000,"NA","MYb11_bi_10_1_6"
"col.pe","bi","10","MYb71","6","6","1","e",14400,"NA","MYb71_bi_10_1_6"
"col.pe","bi","10","MYb11","6","6","1","h",9111.11111111111,"NA","MYb11_bi_10_1_6"
"col.pe","bi","10","MYb71","2","2","1","b",9216.66666666667,"NA","MYb71_bi_10_1_2"
"col.pe","bi","10","MYb11","2","2","1","b",43833.3333333333,"NA","MYb11_bi_10_1_2"
"col.pe","bi","10","MYb71","2","2","1","h",6.66666666666667,"NA","MYb71_bi_10_1_2"
"col.pe","bi","10","MYb71","6","6","1","b",118888.888888889,"NA","MYb71_bi_10_1_6"
"col.pe","bi","10","MYb71","2","2","1","e",1727.27272727273,"NA","MYb71_bi_10_1_2"
"col.pe","bi","10","MYb11","1","1","1","b",270000,"NA","MYb11_bi_10_1_1"
"col.pe","bi","10","MYb71","4","4","1","h",658.333333333333,"NA","MYb71_bi_10_1_4"
"col.pe","bi","10","MYb71","4","4","1","b",21714.2857142857,"NA","MYb71_bi_10_1_4"
"col.pe","bi","10","MYb71","6","6","1","h",412.592592592593,"NA","MYb71_bi_10_1_6"
"col.pe","bi","10","MYb71","1","1","1","b",10466.6666666667,"NA","MYb71_bi_10_1_1"
"col.pe","bi","10","MYb11","3","3","1","h",304000,"NA","MYb11_bi_10_1_3"
"col.pe","bi","10","MYb11","3","3","1","e",2022.22222222222,"NA","MYb11_bi_10_1_3"
"col.pe","bi","10","MYb11","2","2","1","h",426.666666666667,"NA","MYb11_bi_10_1_2"
"col.pe","bi","10","MYb71","3","3","1","h",146.666666666667,"NA","MYb71_bi_10_1_3"
"col.pe","bi","10","MYb71","3","3","1","e",47.7777777777778,"NA","MYb71_bi_10_1_3"
"col.pe","anc","0","MYb11","4","4","1","h",8444.44444444444,"NA","MYb11_anc_0_1_4"
"col.pe","anc","0","MYb11","1","1","1","h",276666.666666667,"NA","MYb11_anc_0_1_1"
"col.pe","anc","0","MYb71","4","4","1","h",6.66666666666667,"NA","MYb71_anc_0_1_4"
"col.pe","anc","0","MYb71","1","1","1","b",16622.2222222222,"NA","MYb71_anc_0_1_1"
"col.pe","anc","0","MYb11","1","1","1","b",206666.666666667,"NA","MYb11_anc_0_1_1"
"col.pe","anc","0","MYb11","3","3","1","b",2991.66666666667,"NA","MYb11_anc_0_1_3"
"col.pe","anc","0","MYb11","3","3","1","e",23083.3333333333,"NA","MYb11_anc_0_1_3"
"col.pe","anc","0","MYb11","4","4","1","e",4266.66666666667,"NA","MYb11_anc_0_1_4"
"col.pe","anc","0","MYb71","3","3","1","b",10583.3333333333,"NA","MYb71_anc_0_1_3"
"col.pe","anc","0","MYb71","2","2","1","b",60000,"NA","MYb71_anc_0_1_2"
"col.pe","anc","0","MYb11","2","2","1","b",47833.3333333333,"NA","MYb11_anc_0_1_2"
"col.pe","anc","0","MYb71","3","3","1","e",237.5,"NA","MYb71_anc_0_1_3"
"col.pe","anc","0","MYb71","3","3","1","h",561.904761904762,"NA","MYb71_anc_0_1_3"
"col.pe","anc","0","MYb11","2","2","1","h",61333.3333333333,"NA","MYb11_anc_0_1_2"
"col.pe","anc","0","MYb11","3","3","1","h",51428.5714285714,"NA","MYb11_anc_0_1_3"
"col.pe","anc","0","MYb11","2","2","1","e",70909.0909090909,"NA","MYb11_anc_0_1_2"
"col.pe","anc","0","MYb71","4","4","1","e",260,"NA","MYb71_anc_0_1_4"
"col.pe","anc","0","MYb11","6","6","1","b",39166.6666666667,"NA","MYb11_anc_0_1_6"
"col.pe","anc","0","MYb71","6","6","1","b",27500,"NA","MYb71_anc_0_1_6"
"col.pe","anc","0","MYb11","6","6","1","e",330.612244897959,"NA","MYb11_anc_0_1_6"
"col.pe","anc","0","MYb71","2","2","1","e",872.727272727273,"NA","MYb71_anc_0_1_2"
"col.pe","anc","0","MYb11","6","6","1","h",13629.6296296296,"NA","MYb11_anc_0_1_6"
"col.pe","anc","0","MYb71","6","6","1","h",1177.77777777778,"NA","MYb71_anc_0_1_6"
"col.pe","anc","0","MYb71","2","2","1","h",152.5,"NA","MYb71_anc_0_1_2"
"col.pe","anc","0","MYb71","4","4","1","b",26666.6666666667,"NA","MYb71_anc_0_1_4"
"col.pe","anc","0","MYb71","6","6","1","e",36.3265306122449,"NA","MYb71_anc_0_1_6"
"col.pe","anc","0","MYb11","4","4","1","b",62833.3333333333,"NA","MYb11_anc_0_1_4"
"col.pe","bi","4","MYb71","3","3","1","b",137333.333333333,"NA","MYb71_bi_4_1_3"
"col.pe","bi","4","MYb11","3","3","1","h",12833.3333333333,"NA","MYb11_bi_4_1_3"
"col.pe","bi","4","MYb71","2","2","1","h",118.888888888889,"NA","MYb71_bi_4_1_2"
"col.pe","bi","4","MYb71","2","2","1","b",110666.666666667,"NA","MYb71_bi_4_1_2"
"col.pe","bi","4","MYb11","2","2","1","e",793333.333333333,"NA","MYb11_bi_4_1_2"
"col.pe","bi","4","MYb11","6","6","1","h",178.823529411765,"NA","MYb11_bi_4_1_6"
"col.pe","bi","4","MYb11","2","2","1","b",89333.3333333333,"NA","MYb11_bi_4_1_2"
"col.pe","bi","4","MYb71","3","3","1","h",353.333333333333,"NA","MYb71_bi_4_1_3"
"col.pe","bi","4","MYb71","4","4","1","b",58666.6666666667,"NA","MYb71_bi_4_1_4"
"col.pe","bi","4","MYb11","3","3","1","b",268000,"NA","MYb11_bi_4_1_3"
"col.pe","bi","4","MYb11","2","2","1","h",2000,"NA","MYb11_bi_4_1_2"
"col.pe","bi","4","MYb11","6","6","1","e",226190.476190476,"NA","MYb11_bi_4_1_6"
"col.pe","bi","4","MYb71","6","6","1","b",27000,"NA","MYb71_bi_4_1_6"
"col.pe","bi","4","MYb71","6","6","1","h",31.3725490196078,"NA","MYb71_bi_4_1_6"
"col.pe","bi","4","MYb71","6","6","1","e",1032.14285714286,"NA","MYb71_bi_4_1_6"
"col.pe","bi","4","MYb11","6","6","1","b",110100,"NA","MYb11_bi_4_1_6"
"col.pe","bi","4","MYb11","4","4","1","b",48000,"NA","MYb11_bi_4_1_4"
"col.pe","bi","4","MYb71","4","4","1","h",15619.0476190476,"NA","MYb71_bi_4_1_4"
"col.pe","bi","4","MYb11","1","1","1","b",242222.222222222,"NA","MYb11_bi_4_1_1"
"col.pe","bi","4","MYb11","5","5","1","e",20579.7101449275,"NA","MYb11_bi_4_1_5"
"col.pe","bi","4","MYb71","1","1","1","b",7166.66666666667,"NA","MYb71_bi_4_1_1"
"col.pe","bi","4","MYb11","5","5","1","b",3530.86419753086,"NA","MYb11_bi_4_1_5"
"col.pe","bi","4","MYb11","4","4","1","h",6857.14285714286,"NA","MYb11_bi_4_1_4"
"col.pe","mono","10","MYb71","3","3","1","h",1.11111111111111,"NA","MYb71_mono_10_1_3"
"col.pe","mono","10","MYb11","5","5","1","b",16933.3333333333,"NA","MYb11_mono_10_1_5"
"col.pe","mono","10","MYb11","6","6","1","b",68000,"NA","MYb11_mono_10_1_6"
"col.pe","mono","10","MYb71","6","6","1","b",11200,"NA","MYb71_mono_10_1_6"
