org,c_0.7,c_0.75,c_0.8,r_0.7,r_0.75,r_0.8,s_0.7,s_0.75,s_0.8,csr_0.7,csr_0.75,csr_0.8,csr
BIGb0170,1,1,1,2,1,1,1,1,1,r,"c,s,r","c,s,r",r
BIGb0172,0,0,0,1,1,1,0,0,0,r,r,r,r
BIGb0393,0,0,0,1,1,1,1,1,1,"s,r","s,r","s,r","r,s"
CEent1,2,2,2,2,2,2,1,1,1,"c,r","c,r","c,r","c,r"
JUb134,0,0,0,0,0,0,1,1,1,s,s,s,s
JUb19,0,0,0,1,0,0,1,1,1,"s,r",s,s,s
JUb44,0,0,0,2,2,2,1,1,1,r,r,r,r
JUb66,1,1,0,1,1,1,0,0,0,"c,r","c,r",r,r
MSPm1,1,1,1,0,0,0,1,1,1,"c,s","c,s","c,s","c,s"
MYb10,1,1,1,1,0,0,0,0,0,"c,r",c,c,c
MYb11,4,4,3,1,1,1,1,1,1,c,c,c,c
MYb115,2,2,2,1,1,1,1,1,1,c,c,c,c
MYb121,1,0,0,1,1,1,0,0,0,"c,r",r,r,r
MYb158,1,1,1,2,2,2,0,0,0,r,r,r,r
MYb174,1,1,1,1,0,0,1,1,1,"c,s,r","c,s","c,s","c,s"
MYb176,1,1,1,1,1,0,1,1,0,"c,s,r","c,s,r",c,c
MYb177,1,1,1,4,4,4,1,1,1,r,r,r,r
MYb181,1,0,0,1,1,0,2,2,2,s,s,s,s
MYb186,1,1,0,1,1,1,0,0,0,"c,r","c,r",r,r
MYb191,0,0,0,2,2,2,0,0,0,r,r,r,r
MYb21,0,0,0,1,1,1,0,0,0,r,r,r,r
MYb25,0,0,0,1,1,1,0,0,0,r,r,r,r
MYb264,0,0,0,3,2,2,0,0,0,r,r,r,r
MYb328,1,1,0,2,2,1,0,0,0,r,r,r,r
MYb330,3,3,3,0,0,0,2,1,1,c,c,c,c
MYb331,3,3,3,0,0,0,1,1,1,c,c,c,c
MYb371,3,3,3,0,0,0,2,1,1,c,c,c,c
MYb375,0,0,0,1,1,1,0,0,0,r,r,r,r
MYb379,1,1,1,0,0,0,1,1,1,"c,s","c,s","c,s","c,s"
MYb382,0,0,0,2,2,2,1,1,1,r,r,r,r
MYb388,1,1,1,1,1,0,2,2,2,s,s,s,s
MYb396,0,0,0,1,1,1,0,0,0,r,r,r,r
MYb398,3,2,0,1,1,1,1,1,1,c,c,"s,r",c
MYb416,1,1,1,2,2,0,0,0,0,r,r,c,r
MYb45,0,0,0,1,0,0,0,0,0,r,"c,s,r","c,s,r",r
MYb49,1,1,1,0,0,0,1,1,1,"c,s","c,s","c,s","c,s"
MYb535,0,0,0,0,0,0,0,0,0,"c,s,r","c,s,r","c,s,r","c,r,s"
MYb541,4,4,4,0,0,0,2,2,1,c,c,c,c
MYb58,1,1,1,1,1,0,0,0,0,"c,r","c,r",c,c
MYb592,0,0,0,2,2,2,0,0,0,r,r,r,r
MYb595,0,0,0,2,1,1,0,0,0,r,r,r,r
MYb596,0,0,0,2,2,2,0,0,0,r,r,r,r
MYb69,0,0,0,1,1,1,0,0,0,r,r,r,r
MYb71,1,0,0,0,0,0,1,1,1,"c,s",s,s,s
MYbb2,0,0,0,2,2,2,1,1,1,r,r,r,r
MYbb4,0,0,0,2,2,1,1,1,1,r,r,"s,r",r
OP50,1,1,1,1,1,1,0,0,0,"c,r","c,r","c,r","c,r"
