"assay","rep","repO","treatE","cycle","strain","cfu.0h","cfu.24h","repB","cfu.72h"
"growthAgar","1","1","bi",4,"MYb11",2591.66666666667,129933.333333333,"1",7000
"growthAgar","1","1","bi",4,"MYb71",13966.6666666667,143133.333333333,"1",12000
"growthAgar","1","1","bi",10,"MYb11",4375,64000,"1",67200
"growthAgar","1","1","bi",10,"MYb71",29366.6666666667,162400,"1",304400
"growthAgar","1","1","mono",4,"MYb11",1900,37333.3333333333,"1",38000
"growthAgar","1","1","mono",4,"MYb71",7250,NA,NA,NA
"growthAgar","1","1","mono",10,"MYb11",2100,42133.3333333333,"1",10000
"growthAgar","1","1","mono",10,"MYb71",4958.33333333333,NA,NA,NA
"growthAgar","2","2","anc",0,"MYb11",4000,29400,"1",34066.6666666667
"growthAgar","2","2","anc",0,"MYb71",24583.3333333333,24733.3333333333,"1",196666.666666667
"growthAgar","2","2","bi",4,"MYb11",1333.33333333333,54600,"1",26133.3333333333
"growthAgar","2","2","bi",4,"MYb71",8925,211733.333333333,"1",467266.666666667
"growthAgar","2","2","bi",10,"MYb11",22658.3333333333,61133.3333333333,"1",22400
"growthAgar","2","2","bi",10,"MYb71",12500,97333.3333333333,"1",190333.333333333
"growthAgar","2","2","mono",4,"MYb11",7616.66666666667,31266.6666666667,"1",235666.666666667
"growthAgar","2","2","mono",4,"MYb71",5166.66666666667,30800,"1",69400
"growthAgar","2","2","mono",10,"MYb11",7633.33333333333,7466.66666666667,"1",42700
"growthAgar","2","2","mono",10,"MYb71",30491.6666666667,538666.666666667,"1",200933.333333333
"growthAgar","3","3","anc",0,"MYb11",7900,19200,"1",38000
"growthAgar","3","3","anc",0,"MYb71",4066.66666666667,135866.666666667,"1",251333.333333333
"growthAgar","3","3","bi",4,"MYb11",5750,31066.6666666667,"1",49466.6666666667
"growthAgar","3","3","bi",4,"MYb71",10983.3333333333,120266.666666667,"1",493866.666666667
"growthAgar","3","3","bi",10,"MYb11",11400,16400,"1",62000
"growthAgar","3","3","bi",10,"MYb71",3900,100800,"1",446133.333333333
"growthAgar","3","3","mono",4,"MYb11",9875,29200,"1",41200
"growthAgar","3","3","mono",4,"MYb71",18650,16000,"1",774266.666666667
"growthAgar","3","3","mono",10,"MYb11",1791.66666666667,11200,"1",28400
"growthAgar","4","4","anc",0,"MYb11",4833.33333333333,19333.3333333333,"1",93800
"growthAgar","4","4","anc",0,"MYb71",16800,87466.6666666667,"1",203333.333333333
"growthAgar","4","4","bi",4,"MYb11",6791.66666666667,17333.3333333333,"1",89533.3333333333
"growthAgar","4","4","bi",4,"MYb71",10150,118933.333333333,"1",267000
"growthAgar","4","4","bi",10,"MYb11",2125,12000,NA,NA
"growthAgar","4","4","bi",10,"MYb71",7000,64000,"1",373333.333333333
"growthAgar","4","4","mono",4,"MYb11",4566.66666666667,23000,"1",104066.666666667
"growthAgar","4","4","mono",4,"MYb71",8350,75200,"1",357533.333333333
"growthAgar","4","4","mono",10,"MYb11",1383.33333333333,9333.33333333333,"1",29400
"growthAgar","4","4","mono",10,"MYb71",20758.3333333333,8000,"1",538666.666666667
"growthAgar","5","5","anc",0,"MYb11",3133.33333333333,12000,NA,NA
"growthAgar","5","5","anc",0,"MYb71",17008.3333333333,10666.6666666667,NA,NA
"growthAgar","5","5","bi",4,"MYb11",833.333333333333,16400,"1",54800
"growthAgar","5","5","bi",4,"MYb71",6950,91800,"1",129333.333333333
"growthAgar","5","5","bi",10,"MYb11",750,43666.6666666667,"1",46000
"growthAgar","5","5","bi",10,"MYb71",16025,94933.3333333333,"1",152000
"growthAgar","5","5","mono",4,"MYb11",1125,9600,"1",50800
"growthAgar","5","5","mono",4,"MYb71",13000,20800,"1",97000
"growthAgar","5","5","mono",10,"MYb11",1833.33333333333,8400,"1",35600
"growthAgar","5","5","mono",10,"MYb71",19700,109866.666666667,"1",83000
"growthAgar","6","6","anc",0,"MYb11",6066.66666666667,20533.3333333333,"1",41600
"growthAgar","6","6","anc",0,"MYb71",7166.66666666667,168000,"1",473000
"growthAgar","6","6","bi",4,"MYb11",2125,19200,"1",46400
"growthAgar","6","6","bi",4,"MYb71",8800,120266.666666667,"1",654533.333333333
"growthAgar","6","6","bi",10,"MYb11",9166.66666666667,39200,"1",48000
"growthAgar","6","6","bi",10,"MYb71",6900,57000,"1",384800
"growthAgar","6","6","mono",4,"MYb11",1708.33333333333,18400,"1",9800
"growthAgar","6","6","mono",4,"MYb71",3400,303400,"1",391600
"growthAgar","6","6","mono",10,"MYb11",4700,13600,"1",32000
"growthAgar","6","6","mono",10,"MYb71",4300,366400,"1",1060533.33333333
