"assay","treatE","cycle","strain","repO","rep","repT","lawn","cfu_w","cfu_releas","id"
"releas","mono","4","MYb11","3","3","1","b",220.909090909091,-2.42424242424242,"MYb11_mono_4_1_3"
"releas","mono","4","MYb71","3","3","1","b",121.515151515152,-2.42424242424242,"MYb71_mono_4_1_3"
"releas","mono","4","MYb71","3","3","3","b",215,21.6666666666667,"MYb71_mono_4_3_3"
"releas","mono","4","MYb71","4","4","3","b",825.714285714286,59.0476190476191,"MYb71_mono_4_3_4"
"releas","mono","4","MYb11","2","2","1","b",615.757575757576,-6.66666666666668,"MYb11_mono_4_1_2"
"releas","mono","4","MYb71","2","2","2","b",261.333333333333,138.666666666667,"MYb71_mono_4_2_2"
"releas","mono","4","MYb71","6","6","1","b",1647.05882352941,-654.901960784314,"MYb71_mono_4_1_6"
"releas","mono","4","MYb11","3","3","3","b",81.6666666666667,38.3333333333333,"MYb11_mono_4_3_3"
"releas","mono","4","MYb11","4","4","3","b",149.52380952381,-10.4761904761905,"MYb11_mono_4_3_4"
"releas","mono","4","MYb71","6","6","2","b",13116.6666666667,450,"MYb71_mono_4_2_6"
"releas","mono","4","MYb71","5","5","2","b",7511.11111111111,-222.222222222222,"MYb71_mono_4_2_5"
"releas","mono","4","MYb71","5","5","3","b",457.204301075269,-1.07526881720431,"MYb71_mono_4_3_5"
"releas","mono","4","MYb11","2","2","2","b",1546.66666666667,72,"MYb11_mono_4_2_2"
"releas","mono","4","MYb11","4","4","2","b",549.019607843137,666.666666666667,"MYb11_mono_4_2_4"
"releas","mono","4","MYb71","1","1","1","b",2308.88888888889,102.592592592593,"MYb71_mono_4_1_1"
"releas","mono","4","MYb11","6","6","1","b",1701.96078431373,-250.980392156863,"MYb11_mono_4_1_6"
"releas","mono","4","MYb71","6","6","3","b",588.405797101449,-36.231884057971,"MYb71_mono_4_3_6"
"releas","mono","4","MYb71","2","2","1","b",1496.9696969697,90.9090909090909,"MYb71_mono_4_1_2"
"releas","mono","4","MYb11","5","5","2","b",5155.55555555556,444.444444444444,"MYb11_mono_4_2_5"
"releas","mono","4","MYb71","4","4","2","b",1333.33333333333,-556.862745098039,"MYb71_mono_4_2_4"
"releas","mono","4","MYb11","4","4","1","b",1564.44444444444,45.1851851851852,"MYb11_mono_4_1_4"
"releas","mono","4","MYb11","5","5","3","b",1139.78494623656,447.311827956989,"MYb11_mono_4_3_5"
"releas","mono","4","MYb71","1","1","3","b",60.8333333333333,-3.33333333333333,"MYb71_mono_4_3_1"
"releas","mono","4","MYb11","6","6","2","b",8333.33333333333,-2000,"MYb11_mono_4_2_6"
"releas","mono","4","MYb71","4","4","1","b",570.37037037037,37.037037037037,"MYb71_mono_4_1_4"
"releas","mono","4","MYb11","6","6","3","b",208.074534161491,-231.884057971015,"MYb11_mono_4_3_6"
"releas","mono","4","MYb71","5","5","1","b",7666.66666666667,-626.666666666667,"MYb71_mono_4_1_5"
"releas","mono","4","MYb11","5","5","1","b",9200,3100,"MYb11_mono_4_1_5"
"releas","mono","4","MYb11","1","1","1","b",1229.62962962963,140.740740740741,"MYb11_mono_4_1_1"
"releas","bi","10","MYb11","2","2","2","b",13228.0701754386,2662.28070175439,"MYb11_bi_10_2_2"
"releas","bi","10","MYb71","2","2","1","b",4594.44444444444,-16.6666666666667,"MYb71_bi_10_1_2"
"releas","bi","10","MYb11","6","6","3","b",1640.625,2703.125,"MYb11_bi_10_3_6"
"releas","bi","10","MYb71","2","2","2","b",26403.5087719298,-385.964912280702,"MYb71_bi_10_2_2"
"releas","bi","10","MYb11","5","5","1","b",38192.0903954802,3050.84745762712,"MYb11_bi_10_1_5"
"releas","bi","10","MYb71","4","4","1","b",10716.6666666667,116.666666666667,"MYb71_bi_10_1_4"
"releas","bi","10","MYb11","6","6","2","b",15892.4731182796,-1053.76344086022,"MYb11_bi_10_2_6"
"releas","bi","10","MYb11","2","2","1","b",2423.61111111111,-116.666666666667,"MYb11_bi_10_1_2"
"releas","bi","10","MYb71","3","3","2","b",41405.4054054054,-1045.04504504505,"MYb71_bi_10_2_3"
"releas","bi","10","MYb71","6","6","1","b",2746.9696969697,28.7878787878787,"MYb71_bi_10_1_6"
"releas","bi","10","MYb71","6","6","2","b",3991.39784946236,122.58064516129,"MYb71_bi_10_2_6"
"releas","bi","10","MYb71","3","3","3","b",44200,1900,"MYb71_bi_10_3_3"
"releas","bi","10","MYb11","5","5","2","b",28468.4684684685,4918.91891891892,"MYb11_bi_10_2_5"
"releas","bi","10","MYb11","4","4","3","b",13279.1666666667,-20.8333333333333,"MYb11_bi_10_3_4"
"releas","bi","10","MYb71","5","5","3","b",2366.34920634921,38.2539682539683,"MYb71_bi_10_3_5"
"releas","bi","10","MYb71","5","5","1","b",9035.02824858757,134.463276836158,"MYb71_bi_10_1_5"
"releas","bi","10","MYb11","6","6","1","b",9696.9696969697,-287.878787878788,"MYb11_bi_10_1_6"
"releas","bi","10","MYb71","5","5","2","b",29981.981981982,-6387.38738738739,"MYb71_bi_10_2_5"
"releas","bi","10","MYb11","3","3","2","b",4504.5045045045,28396.3963963964,"MYb11_bi_10_2_3"
"releas","bi","10","MYb71","4","4","3","b",2720.83333333333,208.333333333333,"MYb71_bi_10_3_4"
"releas","bi","10","MYb11","3","3","3","b",2766.66666666667,66.6666666666668,"MYb11_bi_10_3_3"
"releas","bi","10","MYb11","1","1","1","b",11.6666666666667,-8.05555555555556,"MYb11_bi_10_1_1"
"releas","bi","10","MYb11","3","3","1","b",161.333333333333,-61.3333333333333,"MYb11_bi_10_1_3"
"releas","bi","10","MYb71","4","4","2","b",1359.52380952381,73.8095238095238,"MYb71_bi_10_2_4"
"releas","bi","10","MYb11","4","4","1","b",12983.3333333333,505.555555555556,"MYb11_bi_10_1_4"
"releas","bi","10","MYb11","5","5","3","b",6371.42857142857,147.619047619048,"MYb11_bi_10_3_5"
"releas","bi","10","MYb71","3","3","1","b",1817.33333333333,80.6666666666667,"MYb71_bi_10_1_3"
"releas","bi","10","MYb11","4","4","2","b",626.190476190476,-278.571428571429,"MYb11_bi_10_2_4"
"releas","anc","0","MYb71","2","2","1","b",1298.85057471264,268.965517241379,"MYb71_anc_0_1_2"
"releas","anc","0","MYb11","3","3","1","b",217.708333333333,-18.125,"MYb11_anc_0_1_3"
"releas","anc","0","MYb11","2","2","1","b",131.954022988506,40.2298850574713,"MYb11_anc_0_1_2"
"releas","anc","0","MYb71","1","1","3","b",482.666666666667,-54.6666666666667,"MYb71_anc_0_3_1"
"releas","anc","0","MYb71","3","3","3","b",2372.12121212121,53.3333333333333,"MYb71_anc_0_3_3"
